topics proteins scores signal totalSignal fraction
0 Sua7 9.49368435684462 725135 1416750 0.511829892359273
0 Tfb4 11.9680794024658 309972 516833 0.599752724767962
0 Tfa2 11.8492853640238 282493 459703 0.614511978386045
0 Ssl2 11.9758424956496 268274 442280 0.606570498326852
0 Tfg1 12.4529651250779 217115 292557 0.742128884285797
0 Tfa1 12.4801355115498 206676 276437 0.747642319949934
0 Ssl1 10.5299679807076 167775 320050 0.524214966411498
0 Rad3 5.51947337597406 141691 444645 0.318660954244397
0 Tfb2 10.686332972704 130443 261608 0.498620072780649
0 Kin28 11.8660059475959 120215 209785 0.573039063803418
0 Tfb3 9.86844493921717 89917 173227 0.519070352774106
0 Tfb1 8.4961211807845 47486 117279 0.404897722524919
0 Toa1 1.90355723304345 10136 90553 0.111934447229799
1 Reb1 13.1531530607819 153682 154340 0.995736685240378
2 Spt4 13.1531608343585 126100 126348 0.998037167189033
3 Brf1 8.29344070092628 271333 603026 0.449952406695565
3 Rpc37 8.78520484176223 84024 177070 0.474524199469136
3 Rpc40 8.47410443397952 69430 151303 0.458880524510419
3 Bdp1 11.3440296791809 60161 103360 0.582053018575851
3 Rpo31 7.35803838731493 53624 162203 0.330598077717428
3 Rpc17 10.3777343408204 53149 99387 0.534768128628493
3 Rpc25 8.89975486531039 41589 87628 0.474608572602365
3 Rpc19 11.2543214448827 24428 50019 0.488374417721266
3 Tfc3 6.76227712822644 21133 75366 0.280404957142478
3 Tfc4 10.0572709356524 1100 2582 0.426026336173509
4 Pcf11 13.1528177870053 138470 139793 0.990536006810069
4 Rna14 13.153150813667 78251 78563 0.996028664893143
4 Rtt103 13.1526120090746 50525 52033 0.971018392174197
4 Bye1 13.1522832784194 17828 18409 0.968439350317779
4 Ysh1 2.29303210601423 12715 83105 0.152999217856928
5 Tbf1 13.1531591530213 95524 95799 0.997129406361235
5 Vid22 13.1531636506661 50703 50707 0.99992111542785
5 Hst3 13.0788717754541 4152 5210 0.796928982725528
5 Fun30 1.49554323474449 518 6874 0.0753564154786151
6 Fkh1 13.1531336921914 49281 49585 0.993869113643239
6 Cbf1 13.1353974185397 13556 14847 0.913046406681485
6 Fkh2 2.97666789213225 811 7594 0.106794838030024
7 Sok2 13.1531199870096 93425 94007 0.993808971672322
7 Tup1 13.146134851873 57301 61909 0.925568172640488
7 Mig2 13.1138617068274 35647 42820 0.832484820177487
7 Sfl1 13.1440352171037 28660 30553 0.938042090793048
7 Cyc8 13.1451272878864 26205 29158 0.898724192331436
7 Phd1 12.3177706900686 16885 23516 0.718021772410274
7 Mig1 13.1260215656274 16053 19737 0.813345493236054
7 Sut1 11.2256585888921 6573 10867 0.604858746664213
7 Rox1 8.74588758171918 4934 15071 0.327383717072523
7 Nrg2 6.11760463666621 2650 7698 0.344245258508704
7 Gis1 7.17859598671651 1821 7278 0.250206100577082
7 Nrg1 2.5534067538699 541 3310 0.163444108761329
8 Rap1 6.68575722363911 34563 92581 0.373327140557998
8 Sgf11 1.60649178658085 3908 39598 0.0986918531238951
8 Rif2 7.5823153093108 2915 8056 0.361842105263158
8 Sgf29 1.70763409208104 2906 26828 0.108319666020576
8 Esa1 6.80574493346549 2790 14608 0.190991237677985
8 Sfp1 8.21529272497198 2105 8614 0.244369630833527
8 Eaf5 10.1228377198319 2014 6736 0.298990498812352
8 Ada2 2.0964744575702 1903 24470 0.0777686963628933
8 Spt7 1.95164880756842 1889 24778 0.0762369844216644
8 Taf9 1.10781205113286 1886 24665 0.0764646259882425
8 Ngg1 7.0640629410384 1810 8532 0.212142522269105
8 Stb3 6.48750642753707 1721 6581 0.261510408752469
8 Eaf6 10.853028676515 1301 2841 0.457937346004928
8 Yng2 4.34576413091182 1285 8793 0.14613897418401
8 Gcn5 5.59645279969678 1048 6306 0.166190929273708
8 Rif1 5.3736966112798 771 3399 0.226831421006178
8 Spt3 1.23070926712336 594 15833 0.0375165792964062
8 Arp7 2.36882039871744 403 4689 0.0859458306675197
9 Fhl1 13.1531634558848 234228 234403 0.999253422524456
9 Stb3 5.2658440071632 1404 6581 0.213341437471509
9 Sfp1 3.62366110099456 956 8614 0.11098212212677
9 Esa1 2.19151131026673 955 14608 0.0653751369112815
9 Yng2 3.05057429542936 917 8793 0.104287501421585
9 God1 3.19233031598693 911 6028 0.151128069011281
9 Ngg1 2.70428715585055 723 8532 0.0847398030942335
9 Spt3 1.13783029227889 556 15833 0.0351165287690267
10 Ssl2 2.94713885740167 67925 442280 0.153579180609569
10 Cdc46 13.1531435364068 41115 41308 0.995327781543527
10 Orc6 13.1531430530059 24082 24158 0.996854044208958
10 Orc4 13.1530165782331 21577 21928 0.983993068223276
10 Orc2 13.1528223478929 13805 14090 0.979772888573456
