topic summitPvalue summitPosition meanPvalue meanPosition
25 286.300988474649 0 54.8330064203523 -10
87 121.873462685425 -80 25.3765044922855 -81
58 86.6574510466527 200 15.8719723294113 82
105 77.919561767855 20 10.5965277058566 19
80 69.3101273183004 -150 13.4022055808415 -153
26 55.4984110890691 20 15.3760374020246 -9
60 47.072741852491 -200 1.84265053696893 -196
106 37.8068623305263 140 7.87230663669371 136
153 35.9362806191194 200 9.48925375729903 73
0 33.5884978277115 -130 3.8330482750672 -135
