topics significance commonGenes percentOfTopics percentOfReference
152 111.585538011968 70 54.2635658914729 90.9090909090909
141 96.6168961204996 57 73.0769230769231 74.025974025974
159 94.9822528502046 67 42.1383647798742 87.012987012987
99 83.4785817900881 72 23.3766233766234 93.5064935064935
55 82.6837887070031 68 28.3333333333333 88.3116883116883
154 81.359701908132 51 67.1052631578947 66.2337662337662
98 78.6716638922959 76 16.1702127659574 98.7012987012987
119 78.5654552204026 64 30.9178743961353 83.1168831168831
124 76.2585896053639 69 22.258064516129 89.6103896103896
46 72.9647826282497 61 30.3482587064677 79.2207792207792
