topics significance commonGenes percentOfTopics percentOfReference
63 36.1797303128475 60 12.3711340206186 61.8556701030928
24 35.6107776667377 68 9.59097320169253 70.1030927835051
69 24.234429606897 44 12.4645892351275 45.360824742268
79 23.09967521672 37 15.6118143459916 38.1443298969072
66 22.8788188580866 40 13.5135135135135 41.2371134020619
134 16.2150165839154 37 10.054347826087 38.1443298969072
18 16.1273330101842 23 0.636942675159236 23.7113402061856
7 15.8115326895332 34 11.0032362459547 35.0515463917526
57 14.9791163615791 22 20.3703703703704 22.680412371134
135 14.4192156084718 47 6.66666666666667 48.4536082474227
