topic summitPvalue summitPosition meanPvalue meanPosition
113 253.260842913681 0 42.6458294899561 7
149 129.351433272803 -200 4.87272409386504 -196
169 58.3506820012638 -170 13.5728584837537 -24
26 46.8525523748118 190 22.440398191045 4
12 33.1401872538211 -150 3.45007670435935 -129
99 33.021843169306 -110 11.7423164439269 -3
79 28.4352549109422 50 8.67546912658244 43
30 26.7570624891342 90 3.89462320649593 93
122 25.5255313600306 -50 8.24527592598693 -19
162 24.0622286522844 -60 10.5017365958342 21
