topics significance commonGenes percentOfTopics percentOfReference
152 170.891778920655 112 86.8217054263566 70.440251572327
55 164.456775124896 132 55 83.0188679245283
46 162.631031392338 125 62.1890547263682 78.6163522012579
98 157.756666113591 152 32.3404255319149 95.5974842767296
99 156.004390303259 137 44.4805194805195 86.1635220125786
124 148.869636443026 134 43.2258064516129 84.2767295597484
156 138.153920638045 127 43.3447098976109 79.874213836478
119 137.677152058637 115 55.5555555555556 72.3270440251572
75 126.165951060099 143 26.0948905109489 89.937106918239
153 106.075035846264 103 44.206008583691 64.7798742138365
