topics significance commonGenes percentOfTopics percentOfReference
63 69.4746099654524 113 23.2989690721649 59.7883597883598
57 45.7395709631436 52 48.1481481481481 27.5132275132275
35 37.5491353199816 59 29.3532338308458 31.2169312169312
24 35.6428488762781 98 13.8222849083216 51.8518518518518
79 34.1453216823905 60 25.3164556962025 31.7460317460317
9 33.4829604012612 55 28.0612244897959 29.1005291005291
78 32.5148615433185 41 42.7083333333333 21.6931216931217
32 31.9302549065801 46 34.5864661654135 24.3386243386243
47 30.1686181906094 39 41.4893617021277 20.6349206349206
142 28.6786796662124 40 37.037037037037 21.1640211640212
